Latitude,Longitude,Number of casualties,Time of accident
53.973968,-1.082145,3,23:41:00
53.923962,-1.066339,1,09:20:00
53.954726,-1.069462,1,16:20:00
53.906938,-1.050279,1,05:55:00
53.984797,-1.064369,1,11:52:00
54.017293,-1.070661,2,16:52:00
54.012416,-0.989735,1,04:00:00
53.997405,-1.090936,1,21:22:00
53.96695,-1.09297,2,08:25:00
53.922213,-1.170992,1,11:36:00
53.999602,-1.072733,1,17:41:00
53.953678,-1.039159,1,08:30:00
53.960749,-1.081216,1,09:00:00
53.954906,-1.046598,1,17:40:00
53.928193,-1.044314,1,14:44:00
53.953796,-1.077102,1,14:06:00
53.940667,-0.987051,1,18:17:00
53.928268,-1.088631,1,19:30:00
53.955345,-1.140466,1,12:00:00
53.959026,-1.079273,1,16:35:00
53.941371,-1.07433,1,17:54:00
53.958224,-1.091941,1,11:25:00
53.956031,-1.123535,1,13:00:00
53.951719,-1.111587,1,23:58:00
53.998726,-1.136063,1,14:10:00
53.959319,-1.082315,1,17:00:00
53.96429,-1.05111,1,17:02:00
53.981533,-1.17073,2,21:13:00
53.889912,-1.045492,1,21:25:00
53.997628,-1.084829,1,22:30:00
53.973005,-1.073781,2,07:20:00
53.956888,-1.081759,1,23:21:00
53.953604,-1.041142,1,08:50:00
53.933012,-0.974747,1,09:00:00
53.972627,-1.143921,1,09:17:00
53.917366,-1.14627,2,14:28:00
53.952916,-1.000775,2,18:44:00
53.962849,-1.212408,1,20:00:00
53.96481,-1.048659,2,14:16:00
53.927149,-1.107236,1,20:57:00
53.974086,-1.085802,2,15:20:00
53.99058,-1.023057,1,16:40:00
53.95428,-1.093398,1,19:50:00
53.990386,-1.066532,1,16:11:00
53.95213,-1.05931,1,19:04:00
53.950176,-0.933031,4,02:02:00
54.01745,-0.979235,1,20:34:00
53.970397,-1.073534,1,20:33:00
53.926035,-1.067054,2,16:55:00
53.95744,-1.083423,1,21:15:00
53.928645,-1.102939,1,21:26:00
53.950712,-1.085247,2,06:22:00
53.917882,-1.059014,1,06:45:00
53.954915,-1.070677,1,17:00:00
53.954368,-1.093243,1,16:25:00
53.951909,-1.065563,1,08:50:00
53.992069,-1.098526,2,16:28:00
53.96771,-1.063227,1,08:30:00
53.963304,-1.086343,1,14:37:00
53.972466,-1.073793,2,03:24:00
54.017204,-1.082415,1,13:30:00
53.920752,-1.14209,1,16:45:00
53.957955,-1.092099,1,14:47:00
53.886505,-1.046634,2,17:55:00
53.959108,-1.078204,2,12:00:00
53.933532,-1.144417,3,16:50:00
53.969272,-1.0792,1,17:45:00
53.979779,-1.032307,1,08:15:00
53.98659,-1.123351,1,08:28:00
53.946431,-1.101491,1,08:50:00
54.002091,-1.012718,2,11:40:00
54.048931,-1.036352,1,14:50:00
53.946037,-1.085044,1,13:15:00
53.998264,-1.017385,1,14:16:00
53.964466,-1.121529,2,14:33:00
53.973879,-1.082147,1,17:57:00
53.955721,-1.081937,1,09:44:00
53.966242,-1.059297,1,14:44:00
53.969582,-1.133007,1,15:55:00
53.968449,-1.054217,1,23:15:00
54.031906,-1.031707,1,07:51:00
53.98045,-1.04876,1,15:30:00
53.97793,-1.156621,1,22:55:00
53.957269,-1.084646,1,16:15:00
53.968924,-1.046126,1,21:48:00
53.953614,-1.076802,1,16:00:00
53.914695,-1.053757,1,16:55:00
53.950167,-0.942174,1,11:15:00
53.946132,-1.07392,2,16:05:00
53.978865,-1.019367,1,10:30:00
53.95911,-1.090245,1,17:10:00
53.946042,-1.073922,1,21:25:00
54.008371,-1.000515,2,14:32:00
53.922757,-1.073219,1,14:25:00
53.967621,-1.063229,1,09:45:00
53.954452,-1.104366,1,20:23:00
53.964475,-1.074885,1,20:50:00
53.98604,-1.121838,1,14:25:00
53.954319,-1.063375,1,19:52:00
53.953732,-1.045863,2,07:40:00
53.951771,-1.130939,1,21:00:00
53.957284,-1.086627,1,16:45:00
53.963106,-1.107839,1,00:52:00
54.000715,-1.1377,3,16:36:00
53.962973,-1.078271,1,15:39:00
53.957614,-1.082657,1,18:12:00
53.962965,-0.987883,1,11:25:00
53.952952,-1.132743,1,19:31:00
53.985393,-1.048647,2,11:46:00
54.019806,-1.0819,1,11:50:00
53.961407,-1.085012,1,12:25:00
